"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\paavo\Desktop\interpreter\parser\Parser.java", "Java", 351, 43, 82, 476
"c:\Users\paavo\Desktop\interpreter\parser\ParserException.java", "Java", 6, 0, 4, 10
"Total", "-", 357, 43, 86, 486
