"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\paavo\Desktop\interpreter\tokenizer\Token.java", "Java", 13, 0, 6, 19
"c:\Users\paavo\Desktop\interpreter\tokenizer\TokenType.java", "Java", 48, 3, 19, 70
"c:\Users\paavo\Desktop\interpreter\tokenizer\Tokenizer.java", "Java", 197, 13, 50, 260
"c:\Users\paavo\Desktop\interpreter\tokenizer\TokenizerException.java", "Java", 6, 0, 4, 10
"Total", "-", 264, 16, 79, 359
